BIL,NAMA SYARIKAT,ALAMAT,KOD BENGKEL (BKA642J***J***),TARIKH SAH LAKU,KATEGORI,RUJ. SIJIL,NO TEL,EMAIL,SYARIKAT PERUNDING,JURUTERA PROFESIONAL,AKTIVITI BENGKEL,Negeri,Tempoh Sah
6,CHANGLIN MACHINERY (M) SDN BHD,"Lot No. 35384 Jalan Gopeng (8 KM), 31300 Ipoh, Perak",BKA654A006J037,7-Feb-24,A,(20)JLD 41,05-3127777,info@bnfgroup.net,T&L ASSOCIATES,IR. RAMLI BIN HJ. HITAM,"AKTIVITI:
1. Pemasangan Jentera Motor Grader, Wheel Loader, Vibratory Roller Mengikut lesen ( MITI ) A015059 Sahaja.",Perak,Laku
7,CHOO TIAN VEHICLE INDUSTRIES SDN BHD.,"PT 1558, Kampung Sungai Rawa, Simpang Lima, 34200 Parit Buntar, Perak.",BKA654A007J037,29-June-22,A,(20) Jld 20,05-7176008,ctv.industries@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis, Lori dan Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.
",Perak,Laku
8,ECOAUTO ASSEMBLY PLANT SDN BHD.,"Lot 19339, Jalan Perusahaan 3, Kamunting Industrial Estate, 34600 Kamunting, Perak.",BKA654A008J037,3-Oct-23,A,(20) Jld 37,05-8918888,sklaw888@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD. HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2.  Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Perak,Laku
9,EXCEL BODY MANUFACTURER,"Lot 3725, Tupai Light Industrial Area,Lorong Kilang 9, 34000 Taiping Perak",BKA654A009J037,1-Mar-24,A,(12)Jld.42,05-8479368,N/A,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Rigid Sahaja.",Perak,Laku
10,FU SHEN ENGINEERING SDN BHD,"No. 18, Persiaran Perusahaan Kledang Utara 1/1, Kawasan Perindustrian Chandan Raya, 31450 Menglembu Ipoh, Perak.",BKA654A014J037,28-Jan-24,A,(06)Jld.41,05-2826036,fusheng@yahoo.com.my,PERUNDING AUTO DINAMIK,IR AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Van Sahaja.
",Perak,Laku
11,G.F (M) ENGINEERING SDN. BHD.,"PT 160880 & 160881, Persiaran Klebang 1, Kawasan Perindustrian IGB, 31200 Ipoh, Perak.",BKA654A010J037,10-Nov-23,A,(08)Jld.38,05-2922116,gf@gf1980.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Perak,Laku
12,GEN MASTER MANUFACTURING SDN BHD,"Plot 30, Kilang Jalan Gopeng, Tungzen Industrial Park, 31300 Kampung Kepayang, Perak",BKA654A011J037,30-Jan-21,A,(18)Jld.6,012-5105259,info@gmmsb.com,TANMENGJIN CONSULTANCY,IR.TAN MENG JIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Perak,Tamat
13,HT COMMERCIAL ENTERPRISE.,"Plot 43, Hala Perusahaan Menglembu 3, Kawasan Perindustrian Menglembu, 31450 Ipoh, Perak.",BKA654A012J037,12-Sep-21,A,(20)Jld.12,05-2821942,huptrading@yahoo.com.my,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
",Perak,Tamat
14,HUP TRADING BUS CONSTRUCTION SDN. BHD.,"Lot 43, Hala Perusahaan Menglembu 3, Kawasan Perindustrian Menglembu, 31450 Menglembu, Ipoh, Perak.",BKA654A013J037,25-Jan-23,A,(12)Jld.39,05-2821942,huptrading@yahoo.com.my,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Perak,Laku
15,KEE TIONG MOTOR,"Lot 86, Tupai Light Industrial Area,34000 Taiping, Perak.",BKA642A015J035,30-Jul-14,A,(20)Jld.104,N/A,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Perak,Tamat
16,KHASS ENTERPRISE,"No26 & 26A, Hala Lahat Baru 2, Bandar Lahat Baru, 31500 Lahat, Perak",BKA642A016J035,1-Jul-17,B,(10)Jld.135,05-3235916,khass_event@yahoo.com,SOLID AUTO TECHNIQUE,IR AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid Dan Van Sahaja.
",Perak,Tamat
17,LAU WENG,"Lot 28, Persiaran Rishah 14, Kawasan Perindustrian Silibin,30100 Ipoh, Perak.",BKA654A017J037,10-Nov-23,A,(06)Jld.38,05-5270731,N/A,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Van Dan Semua Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker",Perak,Laku
18,LEE WAH WORKSHOP SDN BHD,"20, Persiaran Perusahaan Kledang (U) 1/1, Taman Perindustrian Chandan Raya, 31450 Menglembu, Perak",BKA654A018J037,24-Feb-24,A,(04)Jld.41,03-87278913,leewahworkshop@gmail.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Perak,Laku
19,MAH KIAW ENTERPRISE SDN BHD,"PT 1408, Jalan Kuala Kangsar,34700 Simpang Taiping, Perak D.R.",BKA654A019J037,3-Oct-23,A,(16)Jld.37,05-8113635,pdp_clem@yahoo.com,MNFF ENGINEERING SERVICES,IR MUSTAFFA BIN TEK,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Perak,Laku
20,MAN SOON AUTOMOBILE & ENGINEERING SDN BHD,"PT 101841, Perusahaan Klebang 11,Kawasan Perusahaan IGB,31200 Chemor, Perak.",BKA654A020J037,10-Nov-23,A,(10)Jld.38,05-291913,mansoonae9193@gmail.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Perak,Laku
21,MAN SOON ENGINEERING SDN BHD,"Lot 34719, Jalan Batu Marmar,Jalan Kuala Kangsar, 30010 Ipoh, Perak",BKA642A021J035,21-Dec-11,A,,,,,,,Perak,Tamat
22,"PARIT ENTERPRISE COACH WORKS,","Lot 114039, Kawasan Perindustrian Pengkalan, 31500 Lahat, Ipoh, Perak.",BKA642A022J035,13-Mar-16,A,(16)Jld 121,05-2544198,mctanet@gmail.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVTI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas,  Lori Rigid Decontrolled Sahaja.",Perak,Tamat
23,PUSING AUTO TRADING SDN BHD,"Lot 305821, Persiaran BG Perdan 6, Kawasan Industri Batu Gajah Perdan, 31550 Pusing, Perak Darul Ridzuan.",BKA654A023J037,29-Jun-22,A,(22)Jld.20,05-3621306,pusingauto@hotmail.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Perak,Laku
24,R.S. SUPER TRUCK & BUS SDN BHD,Lot 4576 Jalan Paku Kampung Chang 35500 Bidor Perak,BKA654A024J037,24-Apr-23,A,(18) Jld.31,05-4189400,sr-autoki@yahoo.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Dan Kenderaan Decontrolled Sahaja.",Perak,Laku
25,S.R. AUTOMOBILE CENTRE SDN. BHD.,"Lot 3802, Jalan Besar 35500 Bidor,Perak.",BKA642A025J035,3-Apr-19,B,(06) Jld.150,05-4346000,sr-autoki@yahoo.com,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Kenderaan Rigid Dan  Decontrolled Sahaja.",Perak,Tamat
26,SIN HOCK LEONG COACH WORKS SDN BHD,"8-10, Solok Rishah 3, Kawasan Perindustrian Silibin, 30100 Ipoh,Perak D.R.",BKA654A026J037,11-Sep-22,A,(16)JLD. 22,05-5262236,shlcoach@gmail.com,TRANSAFE CONSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Bas, Lori, Luton/Box Van Sahaja.",Perak,Laku
27,SUNLIGHT POWER SDN. BHD.,"Plot 11,Persiaran Perindustrian Kanthan 4,Kawasan Perindustrian Kanthan,31200 Chemor,Perak",BKA642A027J035,24-May-13,C,(06)Jld.91,05-2017833,N/A,RJ PERKHIDMATAN KEJURTERAAN,IR. TAN ENG TONG,"AKTIVITI:
1. Pemasangan Motosikal Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Motosikal Tersebut Sahaja. ",Perak,Tamat
28,SUPER COACH ASSEMBLY PLANT SDN. BHD.,"Lot 73-86, Jalan Logam 5, Kamunting Raya Industrial Estate, 34600 Taiping,Perak.",BKA642A028J035,25-Feb-20,A,(16)JLD 2,05-8918888,N/A,AAREC SDN BHD,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas, Lori dan Van Sahaja.",Perak,Tamat
29,SUPER TRANS ASSEMBLY PLANT SDN. BHD.,"Lot 73-86, Jalan Logam 5, Kamunting Raya Industrial Estate, 34600 Taiping,Perak.",BKA642A029J035,1-Nov-11,A,,,,,,,Perak,Tamat
30,SYARIKAT JASA SELAMAT,"Lot 181661, lebuh Perusahaan Kelebang 1, Kawasan Perusahaan IGB, 31200 Chemor, Perak Darul Ridzuan.",BKA654A037J037,3-Dec-19,B,(24)Jld.5,05-2914088,info@jasaslm.com,DATO'IR HJ. MOHAMAD BIN DALIB,JURUTERA DALAMAN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Treler Dan Van Sahaja.",Perak,Tamat
31,TRUCK & TANKER BUILDER SDN. BHD.,"Pt 131515,Laluan Industri Lahat 1,Kawasan Perindustrian Rima, Lahat, 31500 Ipoh,Perak",BKA654A030J037,30-Jun-23,A,(12)Jld.33,05-3222688,trucktankerbuilder@yahoo.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Sahaja.
2. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja.",Perak,Laku
32,U-TUNG (M) HEAVY INDUSTRIES SDN. BHD.,"PT 17032, 32000 Sitiawan, Perak Darul Ridzuan.",BKA654A031J037,30-May-23,A,(02)Jld.33,05-6927888,mctanet@gmail.com,MOKHTAR CONSULT & ASSOCIATES,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Jentera Berat Sahaja.",Perak,Laku
33,WE ON ENGINEERING SDN. BHD.,"U13 Lumut Port Industri Park, Jalan Kg Aceh 32000 Perak.",BKA642A032J035,17-Apr-13,A,(12)Jld.89,012-5888822,N/A,RJ PERKHIDMATAN KEJURTERAAN,IR. TAN ENG TONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Box/Luton Van Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Perak,Tamat
34,WEI FOONG ENGINEERING,"32-34 Persiaran Perindustrian Rima 17, Kawasan Perindustrian Rima, 31500 Lahad, Perak.",BKA654A033J037,29-Nov-23,A,(22)Jld39,05-3226277,weifoongoT@hotmail.com,MENARA TEKNIK,IR. HJ. MOHAMAD MOHAIDIN BIN AB. LATIB,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Sahaja.",Perak,Laku
35,YONMING AUTO & INDUSTRIAL PARTS (IPOH) SDN BHD,"No 5, Persiaran Kelebang, Kawasan Persiaran IGB, Off Jalan Kuala Kangsar, 31200 Ipoh, Perak",BKA642A034J035,18-Sep-16,B,(20)Jld.127,05-2916663,ymip@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",Perak,Tamat
36,YONMING AUTO & INDUSTRIAL PARTS (IPOH) SDN BHD,"No 27, Lebuh Perusahaan Klebang 11, Kawasan Perusahaan IGB, 31200 Ipoh, Perak",BKA654A035J037,26-Nov-22,B,(16)Jld.27,05-2916663,ymip@yonming.com,FCC CONSULTING ENGINEER,DATO' IR. FOONG CHOY CHYE,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Kenderaan Rigid, Pengerak Utama, Trailer/Tanker, Jentera Berat Dan Bas Sahaja.",Perak,Laku
37,YYT TRUCKS,"No. 205, Jalan Besar, 31100 Sungai Siput (U), Perak",BKA654A036J036,1-Oct-22,A,(20)Jld.25,05-5972888,jeff.yim@yyttrucks.com.my,PERUNDING AUTO DINAMIK,IR. AHMAD ZAINNIE BIN ABU HASSAN,"AKTIVITI:
1. Pembinaan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Tipper Dan Box/Lutin Sahaja.
2. Pembinaan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker.",Perak,Laku
1,BOON KOON VEHICLE INDUSTRIES SDN BHD,"1177, Jalan Dato' Keramat, 14300 Nibong Tebal Sungai Petani (S), Pulau Pinang",BKA654P001J020,5-Aug-22,A,(22) Jld. 25,04-5931504,bkvi@boonkoon.com,PERUNDING SHAMIL,IR SHAMIL BIN ABU HASAN,"AKTIVITI:
1. Pemasangan Kenderaan Perdagangan ""Rebuilt Of Commercial Vehicles"".
2. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Bas Sahaja.
3. Membina Semua Jenis Treler/Tanker Baru, Pembaikan Dan Pengubahsuaian Te",Pulau Pinang,Laku
2,BOON SIEW HONDA SDN BHD.,"721, Persiaran Cassia Selatan 1, Kawasan Perindustrian Batu Kawan, 14100 Simpang Ampat, Pulau Pinang.",BKA654P002J022,21-Nov-21,C,(20) Jld. 16,04-5063333,wazirtani@bswhonda.com.my,JURUTERA DALAMAN,WAZIRTANI BIN OTHMAN@ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Motosikal Sahaja.",Pulau Pinang,Tamat
3,CHIN CHEE YOONG VEHICLE BODY,"No 1307, Sungai Puyu, 13020 Butterworth, Pulau Pinang.",BKA655P003J023,19-Apr-23,A,(06)Jld. 32,04-3317173,cychinvb@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Box/Luton Van Dan Kenderaan Decontrolled Termasuk Lori Sampah Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semu",Pulau Pinang,Laku
4,HIROSHIMA AUTO SDN BHD,"No 1569, Jalan Besar Mu 15, Ladang Valdor, 14200 Sungai Bakap, Perai Selatan, Pulau Pinang.",BKA654P004J023,4-Nov-23,A,(24) Jld.38,04-5823003,hiroshima.auto@gmail.com,AAREC SDN BHD,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.",Pulau Pinang,Laku
5,HONG SENG ASSEMBLY SDN. BHD.,"No 7137 Jalan Sungai Puyu, 13020 Butterworth,Pulau Pinang.",BKA654P005J023,29-Sep-23,A,(18)Jld.34,04-3332668,williamths@hs-grp.com,TANMENGJIN CONSULTANCY,IR.TAN MENG JIN,"

AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal bagi Semua Jenis Lori Rigid Dan Kenderaan Perdagangan Sahaja.",Pulau Pinang,Laku
6,HUN CHIEW ENTERPRISE.,"No. 2628, Cherok Tok Kun, Bukit Mertajam, 14000 Bukit Mertajam, Pulau Pinang.",BKA654P006J023,11-Jan-24,A,(24) Jld.40,04-5370592,oiicheesiong@hotmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Treler Sahaja.",Pulau Pinang,Laku
7,KEE HUAT AUTO SDN BHD.,"Lot 944, Kampung Baru, Juru Estate MK 12, 14100 Bukit Mertajam, Pulau Pinang.",BKA654P023J023,9-Aug-22,A,(08) Jld.34,04-6265031,yhchew@keehuatauto.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid, Semi-Treler, Luton Box, Refrigerated Box, Vehicle Carrier Dan Tipper Sahaja.",Pulau Pinang,Laku
8,KOMUNAJAYA SDN BHD.,"Plot 173, Jalan Perindustrian, Bukit Minyak Industri Park, 14100 Simpang Ampat, Pulau Pinang.",BKA654P021J023,22-Oct-22,A,(10)Jld. 26,04-5075999,-,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Pulau Pinang,Laku
9,KOSEL INDUSTRIES SDN BHD,"2586, Lorong Perusahaan 10, Kawasan Perusahaan Perai 13600 Perai, Pulau Pinang.",BKA654P007J021,30-May-21,A,(12)Jld.10,04-3997201,adm@kosel-group.com.my,AAREC SDN BHD,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal bagi Semua Jenis Kenderaan Rigid Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler/Tanker Sahaja. ",Pulau Pinang,Tamat
10,KUMPULAN EDARAN OTOMOBIL M.T.H (M) SDN BHD.,"(Lot 1200) 6743, Jalan Bukit Minyak 14000 Bukit Mertajam,Pulau Pinang.",BKA654P024J024,24-Jan-23,A,(08)Jld.41,04-5379427,mooi@mth.com.my,PERUNDING USAHA KUKUH,IR ABDUL HADIE BIN ABDULLAH,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.",Pulau Pinang,Laku
11,MALAYSIAN FORMULA BIKES SDN. BIKES SDN BHD,"No 2237,Jalan Rozhan,Alma,14000 Bukit Mertajam,Pulau Pinang",BKA642P008J020,17-Oct-13,C,(20)Jld.95,04-5541777,N/A,_,ARIFUDDIN BIN MOHAMED SHAH,"AKTIVITI:
1. Membina Dan Memasang Semua Jenis Motosikal Baru Berjenama SYM Sahaja.",Pulau Pinang,Tamat
12,NASA MANUFACTURING SDN. BHD.,"TBP 6743 Jalan Bukit Minyak 14000 Bukit Mertajam,Pulau Pinang.",BKA654P009J022,7-Dec-21,A,(08)Jld.17,04-5379427,mooi@mth.com.my,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Box/Luton Van Sahaja.",Pulau Pinang,Tamat
13,SENG YEAP KNOCKING & SPRAYING CO.,"No. 1921, Teluk Wang, Bukit Mertajam, 14000 Bukit Mertajam,Pulau Pinang.",BKA654P010J023,11-Jan-24,A,(26)Jld.40,019-4570885,sengyeap8038@hotmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Treler Sahaja.",Pulau Pinang,Laku
14,SIAK HOR ENGINEERING,"Lot 1257, Mukim 5, Jalan Permatang Nibong, Kubang Semang, 14000 Bukit Mertajam, Pulau Pinang",BKA654P011J023,20-Dec-23,A,(08)Jld.40,04-3979988,siakhor777@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Termasuk Luton/Box, Refrigerated, Insulated, Tipper, Dan Kargo Sahaja.
2. Membina Semua Jenis Treler Baru Dan Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua J",Pulau Pinang,Laku
15,SIAK HOR MOTOR,"Plot 9, Lorong IKS Simpang Ampat B, Taman IKS Perda, 14100 Simpang Ampat, Pulau Pinang.",BKA642P012J020,12-Feb-16,A,(04)Jld.121,04-5076988,N/A,AKTIF PERUNDING SDN BHD,IR. SJAIFUL ANWAR BIN SJAMSUDDIN,"AKTIVIT:
1. Pembinaan Badan Baru, Pembaikan dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Membina Semua Jenis Treler Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Tersebut Sahaja.",Pulau Pinang,Tamat
16,SIN WAH HUAT BUS BODY BUILDER SDN BHD,"Plot 112A, Lorong Perusahaan Utama 2, Kawasan Perindustrian Bukit Tengah, 14000 Bukit Mertajam, Pulau Pinang",BKA654P013J021,8-May-21,A,(12)JLD. 9,04-5021751,sinwahhuat@hotmail.com,TRANSAFE COUNSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas Dan Box/Luton Van Sahaja.",Pulau Pinang,Tamat
17,SOLID TRUCK BODY WORK,"Lot 627, Mukim 11, Jalan Pangkalan, 14000 Bukit Mertajam, Pulau Pinang.",BKA654P022J023,22-Oct-22,A,(08)JLD. 26,010-4650139,solidtruckbody@gmail.com,AAREC SDN BHD,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori, Van, Ambulans Dan Kenderaan Decontrolled Sahaja.
2. 1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Treler Sahaja.",Pulau Pinang,Laku
18,SUM GEH VEHICLES INDUSTRIES SDN BHD,"TBP 3465, Mk 9 Permatang Tengah 13000 Butterworth, Pulau Pinang",BKA654P014J023,26-Apr-23,A,(08) Jld. 32,04-3317173,sumgeh@gmail.com,CSOOI CONSULTANCY,IR. OOI CHEE SIONG,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Rigid Sahaja.
2. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Semi Treler Sahaja.",Pulau Pinang,Laku
19,TACT COACH & SEAT MANUFACTURING SDN. BHD.,"No5 Lorong Industri Ringan 1, Kawasan Perindustrian Ringan Juru,14100 Bkt Mertajam, Pulau Pinang.",BKA654P015J023,10-Nov-23,A,(22)Jld.37,04-5079282,tactsb@gmail.com,TRANSAFE COUNSULTING ENGINEER,IR. MD HISMA BIN HASHIM,"AKTITVIT:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Bas (Termasuk Tukar Guna Bas) Sahaja.",Pulau Pinang,Laku
20,UNIVERSAL PEMBINAAN BADAN LORI SDN. BHD.,"2091, Bagan Ajam, 13000 Butterworth, Pulau Pinang.",BKA642P016J020,11-Jul-12,A,,,,,,,Pulau Pinang,Tamat
21,WAH LEAN VEHICLES SDN BHD.,"No. 127, Jalan Permatang Pauh, 13400 Butterworth, Pulau Pinang.",BKA654P017J023,11-Jan-24,A,(22)Jld.40,04-3325288,"ewd5050@hot,ail.com",AAREC SDN BHD,IR. AZHAN BIN AB RAHMAN,"AKTIVITI:
1. Pembinaan Badan Baru, Pembaikan Dan Pengubahsuaian Teknikal Bagi Semua Jenis Lori Dan Treler Sahaja.",Pulau Pinang,Laku
